# VP04   2012-05-07_16-08-09
# Elapsed time of measurement: 997 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 24.06, 13.25, -66.86, -2.75, 0.03


# Localization experiment
# mode: 0 => generic; 3/8/15 => WFS with 3/8/15 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 67,   8, 16, 1,   24.73,   13.29,  -67.04,    1.85,    4.74,   -0.38,    0.25,    3.57
 65,  15, 17, 1,   26.00,   13.60,  -66.78,   19.11,   17.50,   -1.92,    0.07,    3.21
114,  15, 18, 1,   25.10,   13.57,  -66.76,   11.27,   12.74,   -0.22,    0.12,    4.13
 85,  15, 19, 1,   24.97,   13.91,  -66.80,    9.55,    8.04,    0.46,    0.20,    2.89
103,  15, 20, 1,   24.81,   13.62,  -66.89,    2.47,    3.46,    0.14,    0.08,    3.36
 20,  15, 21, 1,   24.43,   13.67,  -66.98,   -2.22,   -0.93,    1.11,    0.27,    4.00
 25,  15, 22, 1,   23.93,   13.95,  -66.85,   -6.58,   -5.12,    1.94,    0.30,    4.40
 39,  15, 23, 1,   23.51,   13.38,  -66.95,  -11.05,   -9.07,    2.26,    0.18,    4.40
 91,  15, 24, 1,   23.90,   12.18,  -67.01,  -15.34,  -12.76,    1.44,    0.19,    3.01
 30,   0, 25, 1,   24.12,   14.22,  -66.94,   -2.76,   -5.70,    1.74,    0.17,    3.62
 12,   0, 26, 1,   24.22,   13.78,  -66.94,   -4.11,   -5.70,    0.66,    0.22,    4.60
