
# Curve 0 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
 71.0202 -0.686228  i
 72.8182 -0.694091  i
 74.6162 -0.701184  i
 76.4141 -0.707525  i
 78.2121 -0.713089  i
 80.0101 -0.718195  i
 81.8081 -0.722899  i
 83.6061 -0.726784  i
 85.404 -0.730129  i
 87.202 -0.732924  i
 89 -0.735348  i


# Curve 8 of 12, 100 points
# Curve title: "'lookup_itd.txt' u 1:(column(n)*1000):(1.0)"
# x y type
-89  0.665229  i
-87.202  0.663236  i
-85.404  0.660684  i
-83.6061  0.657596  i
-81.8081  0.653943  i
-80.0101  0.649474  i
-78.2121  0.644198  i
-76.4141  0.638209  i
-74.6162  0.63158  i
-72.8182  0.624313  i
-71.0202  0.616077  i
-69.2222  0.606986  i
-67.4242  0.597302  i
-65.6263  0.586896  i
-63.8283  0.57585  i
-62.0303  0.564296  i
-60.2323  0.552207  i
-58.4343  0.53942  i
-56.6364  0.52593  i
-54.8384  0.511832  i
-53.0404  0.497443  i
-51.2424  0.482597  i
-49.4444  0.467313  i
-47.6465  0.451613  i
-45.8485  0.43552  i
-44.0505  0.419093  i
-42.2525  0.402421  i
-40.4545  0.385444  i
-38.6566  0.368046  i
-36.8586  0.350576  i
-35.0606  0.333247  i
-33.2626  0.315797  i
-31.4646  0.298151  i
-29.6667  0.280228  i
-27.8687  0.262344  i
-26.0707  0.244523  i
-24.2727  0.226676  i
-22.4747  0.208756  i
-20.6768  0.190848  i
-18.8788  0.172861  i
-17.0808  0.154871  i
-15.2828  0.136852  i
-13.4848  0.118754  i
-11.6869  0.100523  i
-9.88889  0.0823153  i
-8.09091  0.0642118  i
-6.29293  0.0461262  i
-4.49495  0.02793  i
-2.69697  0.00993402  i
-0.89899 -0.00781642  i
 0.89899 -0.0258769  i
 2.69697 -0.0440976  i
 4.49495 -0.0624267  i
 6.29293 -0.0810532  i
 8.09091 -0.0996528  i
 9.88889 -0.118334  i
 11.6869 -0.137227  i
 13.4848 -0.156058  i
 15.2828 -0.174867  i
 17.0808 -0.193692  i
 18.8788 -0.212548  i
 20.6768 -0.231307  i
 22.4747 -0.250106  i
 24.2727 -0.269152  i
 26.0707 -0.288069  i
 27.8687 -0.306569  i
 29.6667 -0.325016  i
 31.4646 -0.343435  i
 33.2626 -0.361583  i
 35.0606 -0.379576  i
 36.8586 -0.397389  i
 38.6566 -0.414861  i
 40.4545 -0.432181  i
 42.2525 -0.449482  i
 44.0505 -0.466339  i
 45.8485 -0.482596  i
 47.6465 -0.498361  i
 49.4444 -0.513814  i
 51.2424 -0.528727  i
 53.0404 -0.543038  i
